title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Certain Dark Things,Silvia Morena-Garcia,,,,,,,,,,,,,,,,,,,,,,,,H,
Chalice,Robin McKinley,,,,,,X,,,,,,,,,,,,,,,,,,,
Champion of the Rose,Andrea K. Host,,,,,,,,,,,,,,,,,X,,,,,,,,
Changing Planes,Ursula K. Le Guin,,,,,,,,,,,,,,,,,,,,,H,,,,
Chasing Graves,Ben Galley,,,,,,,X,X,,,,,,,,,,,,,,,,,
Chasm,Stephen Laws,,,,,,,,,,,,,,,,,,,,,H,,,,
Chasmfall,Sarah Lin,,,,,,,,,,,,,X,,,,,,,,,,,,
Chava,Shivaji Sawant,,,,H,,,,,,,,,,,,,,,,,,,,,
Chercher la Femme,L. Timmel Duchamp,,,,,,,,,,,,,,,,,,,,,H,,,,
Child of a Hidden Sea,A. M. Dellamonica,,,,,,,,,,,,,,,,,,,,,H,,,,
Child of an Ancient City,Tad Williams & Nina Kiriki Hoffman,,,X,,,,,,,,,,,,,,,,,,,,,,
Childhood's End,Arthur C. Clarke,,,,,,X,,,,,,,,,,,,,,,,,,,
